duration,forward_packets,backward_packets,total_packets,forward_bytes,backward_bytes,total_bytes,average_packet_size,packets_per_second,bytes_per_second,target
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
0.000109,1,1,2,6,6,12,9.0,18348.62385,110091.7431,0
5.2e-05,1,1,2,6,6,12,9.0,38461.53846,230769.2308,0
3.4e-05,1,1,2,6,6,12,9.0,58823.52941,352941.1765,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
0.001022,2,0,2,12,0,12,9.0,1956.947162,11741.68297,0
4e-06,2,0,2,12,0,12,9.0,500000.0,3000000.0,0
4.2e-05,1,1,2,6,6,12,9.0,47619.04762,285714.2857,0
4e-06,2,0,2,12,0,12,9.0,500000.0,3000000.0,0
4e-06,2,0,2,37,0,37,34.0,500000.0,9250000.0,0
3e-06,2,0,2,37,0,37,34.0,666666.6667,12300000.0,0
1e-06,2,0,2,37,0,37,34.0,2000000.0,37000000.0,0
4e-06,2,0,2,37,0,37,34.0,500000.0,9250000.0,0
3e-06,3,0,3,43,0,43,16.33333333,1000000.0,14300000.0,0
5.4e-05,1,1,2,0,0,0,0.0,37037.03704,0.0,0
1e-06,2,0,2,0,0,0,0.0,2000000.0,0.0,0
0.000154,1,1,2,0,0,0,0.0,12987.01299,0.0,0
1e-06,2,0,2,0,0,0,0.0,2000000.0,0.0,0
0.000118,1,1,2,0,0,0,0.0,16949.15254,0.0,0
0.000239,1,1,2,0,0,0,0.0,8368.200837,0.0,0
1e-06,3,0,3,0,0,0,0.0,3000000.0,0.0,0
1e-06,2,0,2,0,0,0,0.0,2000000.0,0.0,0
4e-06,2,0,2,248,0,248,232.5,500000.0,62000000.0,0
5e-06,3,0,3,254,0,254,157.0,600000.0,50800000.0,0
4e-06,2,0,2,12,0,12,9.0,500000.0,3000000.0,0
4e-06,3,0,3,43,0,43,16.33333333,750000.0,10800000.0,0
5.4e-05,1,1,2,0,0,0,0.0,37037.03704,0.0,0
4.2e-05,3,0,3,43,0,43,16.33333333,71428.57143,1023809.524,0
4e-06,2,0,2,37,0,37,34.0,500000.0,9250000.0,0
3e-06,2,0,2,37,0,37,34.0,666666.6667,12300000.0,0
3e-06,2,0,2,37,0,37,34.0,666666.6667,12300000.0,0
0.000737,2,1,3,37,6,43,24.66666667,4070.556309,58344.64043,0
3e-06,2,0,2,37,0,37,34.0,666666.6667,12300000.0,0
3e-06,2,0,2,37,0,37,34.0,666666.6667,12300000.0,0
3e-06,2,0,2,37,0,37,34.0,666666.6667,12300000.0,0
0.000276,3,0,3,43,0,43,16.33333333,10869.56522,155797.1014,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
1e-06,2,0,2,12,0,12,9.0,2000000.0,12000000.0,0
0.000105,1,1,2,6,6,12,9.0,19047.61905,114285.7143,0
6.6e-05,1,1,2,6,6,12,9.0,30303.0303,181818.1818,0
6.8e-05,1,1,2,6,6,12,9.0,29411.76471,176470.5882,0
4.8e-05,2,0,2,12,0,12,9.0,41666.66667,250000.0,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
1.6e-05,1,1,2,6,6,12,9.0,125000.0,750000.0,0
6.3e-05,1,1,2,6,6,12,9.0,31746.03175,190476.1905,0
1.7e-05,1,1,2,6,6,12,9.0,117647.0588,705882.3529,0
0.000123,1,1,2,6,6,12,9.0,16260.1626,97560.97561,0
4e-06,2,0,2,12,0,12,9.0,500000.0,3000000.0,0
4e-06,2,0,2,12,0,12,9.0,500000.0,3000000.0,0
4.9e-05,2,0,2,12,0,12,9.0,40816.32653,244897.9592,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
4.6e-05,1,1,2,0,0,0,0.0,43478.26087,0.0,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
0.25117,3,0,3,18,0,18,8.0,11.9441016,71.66460963,0
4.9e-05,2,0,2,12,0,12,9.0,40816.32653,244897.9592,0
6.2e-05,1,1,2,0,0,0,0.0,32258.06452,0.0,0
0.000175,2,1,3,12,6,18,8.0,17142.85714,102857.1429,0
3.7e-05,1,1,2,0,0,0,0.0,54054.05405,0.0,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
3e-06,2,0,2,12,0,12,9.0,666666.6667,4000000.0,0
9.6e-05,1,1,2,6,6,12,9.0,20833.33333,125000.0,0
1e-06,2,0,2,12,0,12,9.0,2000000.0,12000000.0,0
0.0,2,0,2,12,0,12,9.0,0.0,0.0,0
4.8e-05,2,0,2,12,0,12,9.0,41666.66667,250000.0,0
1e-06,2,0,2,12,0,12,9.0,2000000.0,12000000.0,0
0.999588,2,0,2,12,0,12,9.0,2.00082434,12.00494604,0
7.5e-05,1,1,2,6,6,12,9.0,26666.66667,160000.0,0
3.2e-05,1,1,2,6,6,12,9.0,62500.0,375000.0,0
0.071693,2,2,4,74,176,250,71.75,55.79345264,3487.09079,0
0.060738,2,2,4,74,200,274,77.75,65.85663012,4511.179163,0
0.126188,20,25,45,176,440,616,13.68888889,356.6107712,4881.605224,0
0.008003,15,6,21,19897,0,19897,947.4761905,2624.015994,2486192.678,0
1e-06,2,0,2,617,0,617,617.0,2000000.0,617000000.0,0
